Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m
0.667,5.877472e-39,59.994,147.2695,1.21132705278137,145.2237,1.0713896,5.877472e-39,59.994,-27.82947,8.73152255921834,145.012,1.01932,5.877472e-39,59.994,163.3153,2.93675796216372,147.8586,1.0727266,5.877472e-39,59.994,125.7106,1.95219186713467,145.0035,1.0709076,0.01,59.995,4.151926,1.66902837224366,162.368,1.0471031884058,5.877472e-39,59.994,-24.12987,8.52463359358634,144.4222,1.0535704,5.877472e-39,59.995,170.5282,3.07240178910767,162.1782,1.04747768115942,5.877472e-39,59.994,-178.3649,0.895630482212809,143.2074,1.0634202,5.877472e-39,59.994,141.3458,3.62889585717309,144.5504,1.0600288
0.7,-0.07,59.993,147.1557,1.20385325354671,145.1263,1.0713722,-0.09,59.993,-27.93073,8.7369045606927,144.9113,1.01924652173913,-0.04,59.993,163.1672,2.94484404135885,147.7697,1.072629,-0.07,59.993,125.5328,1.95717151320643,144.9076,1.0708346,5.877472e-39,59.995,4.053762,1.67325668931611,162.314,1.04709884057971,-0.07,59.993,-24.22836,8.53230311456225,144.3263,1.0534526,5.877472e-39,59.995,170.4503,3.0762912910614,162.1242,1.04747652173913,-0.07,59.993,-178.2685,0.890618793201109,143.1122,1.0633398,-0.07,59.993,141.3139,3.63406602883368,144.4551,1.0599072
0.733,0.02,59.993,146.3307,1.21372767520066,145.0561,1.0718996,5.877472e-39,59.993,-27.96799,8.73635879148324,144.8409,1.01965391304348,5.877472e-39,59.993,163.0883,2.94104998406487,147.6935,1.07297,0.01,59.993,125.1798,1.9671870970012,144.8375,1.071367,5.877472e-39,59.995,3.811195,1.67464302278249,162.2521,1.04678231884058,5.877472e-39,59.993,-24.25418,8.52497653964624,144.25,1.053879,5.877472e-39,59.995,170.3,3.07601760971329,162.0652,1.04724550724638,5.877472e-39,59.993,-178.9154,0.887662182472589,143.0386,1.0637322,5.877472e-39,59.993,141.1507,3.63004593890931,144.3792,1.0603302
0.767,5.877472e-39,59.994,146.4474,1.20875582335753,144.9799,1.0716912,5.877472e-39,59.994,-28.05141,8.73744634618531,144.7662,1.01957130434783,0.01,59.994,162.9355,2.94132191604166,147.6161,1.0729114,5.877472e-39,59.994,125.1944,1.96165925684884,144.7612,1.071164,5.877472e-39,59.994,3.76266,1.67676494956659,162.1764,1.0469768115942,5.877472e-39,59.994,-24.38423,8.52019694544275,144.1742,1.0537818,5.877472e-39,59.995,170.2506,3.08320264143732,161.9896,1.04744463768116,5.877472e-39,59.994,-178.706,0.885879036166197,142.9649,1.063601,0.01,59.994,141.1192,3.63522303877314,144.3039,1.06023
0.8,-0.05,59.993,147.0356,1.2087939284753,144.8919,1.0713062,-0.06,59.993,-28.1917,8.73316385056359,144.672,1.0192552173913,-0.04,59.993,162.7094,2.94569101420376,147.5324,1.072637,-0.05,59.993,125.3863,1.95111886165938,144.6697,1.0707564,5.877472e-39,59.994,3.690069,1.67534754310872,162.1166,1.04681217391304,-0.04,59.993,-24.48834,8.5227707729428,144.0897,1.0535392,5.877472e-39,59.995,170.1289,3.08623225810738,161.9298,1.04728347826087,-0.05,59.993,-178.3817,0.887361671657476,142.8775,1.0633644,-0.04,59.993,141.0375,3.63322685021741,144.2165,1.0599554
0.833,0.01,59.993,146.6825,1.21123785216478,144.8128,1.0713812,0.01,59.993,-28.25204,8.73347059676161,144.5941,1.01930173913043,5.877472e-39,59.993,162.63,2.94192899984972,147.4532,1.072644,0.01,59.993,125.1944,1.96165925684884,144.5939,1.070866,5.877472e-39,59.995,3.569038,1.6760592341253,162.0552,1.04678347826087,5.877472e-39,59.993,-24.5519,8.52966173708071,144.0074,1.0535438,5.877472e-39,59.995,170.0398,3.08447902431843,161.8655,1.0471768115942,5.877472e-39,59.993,-178.5914,0.889126631430389,142.796,1.0634012,5.877472e-39,59.993,141.0375,3.63322685021741,144.1382,1.059985
0.867,0.01,59.994,146.0954,1.21127595728255,144.736,1.071858,5.877472e-39,59.993,-28.3036,8.73161418470606,144.5132,1.01963,0.01,59.993,162.7827,2.94161549865355,147.3739,1.0729614,0.01,59.994,125.0047,1.9722221686988,144.5172,1.0713484,-0.01,59.995,3.569038,1.6760592341253,161.9901,1.04674144927536,0.01,59.993,-24.61855,8.51806998705106,143.9294,1.0538868,-0.01,59.995,169.9345,3.08513334981226,161.8041,1.04715304347826,5.877472e-39,59.993,-179.0313,0.884425845538647,142.7205,1.0637108,0.01,59.993,140.9245,3.63642161793197,144.0571,1.0602966
0.9,0.01,59.994,145.7449,1.21384199055396,144.6685,1.071961,0.02,59.994,-28.37824,8.73060232062428,144.4459,1.01976608695652,0.01,59.994,162.7827,2.94161549865355,147.3046,1.0730672,0.01,59.994,124.844,1.97174585472672,144.4449,1.0714902,-0.01,59.994,3.496255,1.67464899835778,161.9205,1.04675420289855,0.02,59.994,-24.65915,8.51378749142934,143.8574,1.0539794,-0.01,59.995,169.9507,3.08273296121983,161.7346,1.04716985507246,0.01,59.994,-179.3578,0.883000367724017,142.6493,1.0638312,0.02,59.994,140.8739,3.62925698976647,143.9875,1.0604774
0.933,-0.02,59.993,146.0954,1.21127595728255,144.584,1.0717674,-0.01,59.994,-28.48145,8.72693331739861,144.359,1.01967043478261,NaN,NaN,NaN,NaN,NaN,NaN,-0.03,59.993,125.0188,1.96669346252104,144.3618,1.0712402,5.877472e-39,59.994,3.42335,1.67324115282037,161.848,1.04668695652174,-0.01,59.994,-24.7836,8.51430104449379,143.7748,1.0538364,5.877472e-39,59.994,169.8614,3.0809946663691,161.6576,1.04716028985507,-0.02,59.993,-179.0313,0.884425845538647,142.5638,1.0636938,-0.01,59.994,140.6482,3.63570108479603,143.9019,1.0603028
0.967,5.877472e-39,59.993,145.9744,1.20385325354671,144.5068,1.0719418,5.877472e-39,59.993,-28.52432,8.72292968195691,144.2846,1.01975304347826,5.877472e-39,59.993,162.63,2.94192899984972,147.1482,1.0730334,5.877472e-39,59.993,124.6833,1.97128512921191,144.2895,1.0713856,-0.01,59.994,3.42335,1.67324115282037,161.7732,1.04682347826087,5.877472e-39,59.993,-24.83865,8.51306003009016,143.7013,1.0539956,-0.01,59.994,169.8006,3.08253038921763,161.5836,1.04723420289855,5.877472e-39,59.993,-179.2657,0.877962697950203,142.4927,1.0638178,5.877472e-39,59.993,140.6482,3.63570108479603,143.8289,1.0604592
