Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m
1.933,-0.0005974621,59.97686,6.892114,9.21583696058248,6.971326,1.01259971014493,-0.004297793,59.97665,9.385322,5.61788631284885,15.77952,1.03907333333333,-0.004348755,59.97662,9.075929,5.66767002567252,15.75088,1.03893536231884,0.0007376075,59.97718,-0.8076009,5.36398830184463,-0.3721499,1.02211275362319
1.967,0.001297072,59.97688,6.612537,9.20775798279566,6.698246,1.01260289855072,-0.004933476,59.97649,9.087389,5.61405716420551,15.49878,1.03907304347826,-0.003941953,59.97649,8.777982,5.66767002567252,15.46441,1.03893536231884,0.001360551,59.97696,-1.105534,5.36398830184463,-0.6471743,1.02211275362319
2,-0.00368759,59.97684,6.352041,9.20855273430871,6.416582,1.01260231884058,-0.002721325,59.97639,8.812366,5.61022801556217,15.20657,1.03914202898551,-0.002822913,59.97639,8.480048,5.66384087702918,15.17792,1.03900405797101,1.117587e-07,59.97679,-1.397746,5.36398889940216,-0.9221851,1.02211275362319
2.033,-0.004870221,59.97666,6.07876,9.20803285925882,6.123173,1.01256028985507,0.00116989,59.97633,8.537342,5.61022801556217,14.93728,1.03914231884058,0.001653023,59.97635,8.199302,5.6638414745867,14.90864,1.03893536231884,-0.002733842,59.97641,-1.695678,5.3614355360824,-1.214395,1.02204376811594
2.067,-0.003242455,59.97648,5.779677,9.20474031727617,5.832907,1.01258492753623,-0.005518422,59.97615,8.256593,5.61405716420551,14.65081,1.03914231884058,-0.005696565,59.9762,7.912815,5.66001113082831,14.61643,1.03893536231884,-0.008748472,59.97624,-1.970702,5.3614355360824,-1.500878,1.02211275362319
2.1,-0.002441369,59.97644,5.48039,9.20169277388026,5.552641,1.01250753623188,-0.006001666,59.97596,7.930016,5.61405716420551,14.3586,1.03907304347826,-0.006892048,59.97599,7.620606,5.66001113082831,14.32994,1.03893507246377,-0.004552156,59.97613,-2.234263,5.36398889940216,-1.781628,1.02204376811594
2.133,-0.00726074,59.97623,5.197731,9.20392763903726,5.269157,1.01241420289855,-0.002390631,59.97584,7.637808,5.61405716420551,14.06639,1.03900434782609,-0.004425086,59.97581,7.345598,5.6638414745867,14.03775,1.03879739130435,-0.005747527,59.97577,-2.520737,5.36398889940216,-2.068098,1.0219747826087
2.167,-0.008570328,59.97592,4.889155,9.20346751974023,4.973795,1.01228376811594,-0.001475103,59.97577,7.374243,5.61405716420551,13.77418,1.03886637681159,-0.002288818,59.97573,7.064847,5.66767002567252,13.74554,1.03865971014493,-0.007794835,59.9759,-2.812947,5.36654166516439,-2.360307,1.02183710144928
2.2,0.004641116,59.97594,4.602662,9.2026189880496,4.682807,1.01206695652174,-0.0009407848,59.97576,7.076308,5.61405716420551,13.4877,1.0387284057971,-0.0001779199,59.97573,6.766901,5.66767062323004,13.45333,1.03852173913043,-0.004030913,59.97638,-3.093695,5.36654166516439,-2.646792,1.02176782608696
2.233,0.003954582,59.97614,4.320292,9.2055470199398,4.398146,1.01195391304348,0.001500472,59.97583,6.772639,5.61405716420551,13.20122,1.03865971014493,0.001347922,59.97579,6.491891,5.66767002567252,13.16684,1.03845275362319,0.005607605,59.97639,-3.368718,5.36398830184463,-2.933266,1.02169913043478
