Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m,P010.df,P010.f,P010.ip_a,P010.ip_m,P010.vp_a,P010.vp_m,P011.df,P011.f,P011.ip_a,P011.ip_m,P011.vp_a,P011.vp_m,P012.df,P012.f,P012.ip_a,P012.ip_m,P012.vp_a,P012.vp_m,P013.df,P013.f,P013.ip_a,P013.ip_m,P013.vp_a,P013.vp_m
196.933,-0.01,59.969,-24.89311,3.17499895266861,149.1379,1.0603808,5.877472e-39,59.969,156.9912,6.81653791471154,156.9047,1.0668262,5.877472e-39,59.969,141.0623,1.83773188759269,149.3393,1.0612034,-0.01,59.969,158.7762,3.98193111302581,151.9206,1.0619424,5.877472e-39,59.969,-47.68211,2.28935720746305,149.9068,1.0594784,5.877472e-39,59.969,152.0629,6.45071146364492,149.7666,1.0599792,-0.01,59.969,172.3232,1.97044854867185,150.5489,1.0620942,5.877472e-39,59.968,31.19783,5.81244171707108,-161.8832,1.00792941176471,-0.01,59.968,141.8391,1.56652910419436,145.8241,1.0519346,5.877472e-39,59.968,-163.0496,15.4372648210764,-162.1272,1.00712653594771,5.877472e-39,59.969,-34.733,7.45051354360275,149.2315,1.0609542,5.877472e-39,59.969,-39.8817,4.42116793949503,151.0776,1.0539412,-0.01,59.969,-29.2296,3.94880217722944,150.4047,1.0632408
196.967,5.877472e-39,59.968,-25.31117,3.17912902781925,148.7592,1.060367,-0.01,59.969,156.6178,6.81103778737211,156.5283,1.0667622,-0.01,59.968,140.6166,1.84415693006337,148.9609,1.061165,5.877472e-39,59.969,158.477,3.98425465918417,151.5465,1.061873,5.877472e-39,59.968,-47.84714,2.29360506206861,149.5274,1.0595246,5.877472e-39,59.968,151.6817,6.45669396713426,149.3874,1.0600424,5.877472e-39,59.968,171.9973,1.96508785142242,150.1686,1.0621214,5.877472e-39,59.967,30.75664,5.81244171707108,-162.2728,1.00805908496732,5.877472e-39,59.968,141.6504,1.56447315988578,145.4461,1.0520472,-0.01,59.967,-163.4283,15.4341377765484,-162.5161,1.00721934640523,5.877472e-39,59.968,-35.19205,7.44713950862961,148.8513,1.0609892,5.877472e-39,59.968,-40.20113,4.42402322525131,150.7007,1.053974,5.877472e-39,59.968,-29.49637,3.95081049014082,150.0266,1.063226
197,5.877472e-39,59.968,-25.53272,3.17739870906249,148.3808,1.0602454,5.877472e-39,59.969,156.329,6.82015616884855,156.1584,1.066577,5.877472e-39,59.968,140.455,1.84221010495566,148.5843,1.0611122,5.877472e-39,59.969,158.1035,3.98731172885953,151.168,1.0617182,5.877472e-39,59.968,-48.28256,2.29559172434489,149.1503,1.059403,0.01,59.968,151.3269,6.45822076992113,149.0104,1.0599378,5.877472e-39,59.968,171.6167,1.97538229539721,149.7906,1.0619814,5.877472e-39,59.967,30.50454,5.82093376299475,-162.6624,1.00792941176471,5.877472e-39,59.968,141.3871,1.56760037761885,145.0627,1.0519304,0.01,59.967,-163.7958,15.4287316995678,-162.9018,1.00713150326797,5.877472e-39,59.968,-35.61259,7.44653329084696,148.4731,1.0608564,5.877472e-39,59.969,-40.45244,4.42886950341089,150.3264,1.0538388,5.877472e-39,59.969,-29.88255,3.95238319227409,149.649,1.0631034
197.033,-0.02,59.968,-25.94958,3.18178772580887,147.9971,1.0603526,-0.02,59.969,155.9006,6.82415893826485,155.7789,1.066564,-0.01,59.968,140.0715,1.84357236291581,148.2009,1.0611944,-0.01,59.968,157.7305,3.99053767348862,150.7888,1.0617638,-0.01,59.968,-48.69006,2.29226878487057,148.7694,1.059448,-0.01,59.968,150.9722,6.45999525597349,148.6265,1.059967,-0.01,59.968,171.2898,1.97015929618699,149.4121,1.0620418,-0.01,59.967,30.11493,5.79970563571388,-163.0635,1.00799411764706,-0.01,59.968,141.1247,1.57076050431726,144.683,1.0520438,-0.01,59.967,-164.1968,15.4208345871158,-163.3034,1.00717267973856,-0.01,59.968,-35.99417,7.44858490502852,148.0896,1.0609522,-0.02,59.968,-40.83868,4.43014602485607,149.9398,1.0538592,-0.01,59.968,-30.22188,3.95597200154738,149.2676,1.0631474
197.067,0.01,59.968,-26.30994,3.1817245059544,147.6186,1.060324,0.01,59.969,155.5106,6.83176523938628,155.4085,1.0667176,5.877472e-39,59.968,139.8507,1.84689443636473,147.8243,1.061234,0.02,59.969,157.2939,3.99981713569017,150.4148,1.0618312,0.01,59.968,-49.04156,2.30646120918779,148.3905,1.0594794,0.01,59.968,150.5504,6.46397031257686,148.2477,1.0600158,0.02,59.969,171.0388,1.97712040838261,149.0354,1.0620882,5.877472e-39,59.967,29.59927,5.79970563571388,-163.4417,1.00812379084967,5.877472e-39,59.968,140.7917,1.57914103214968,144.2997,1.0520208,-0.01,59.967,-164.5762,15.4257504071153,-163.6842,1.0073631372549,0.01,59.968,-36.38042,7.43857278533537,147.7096,1.0609734,0.01,59.968,-41.27077,4.44213354849525,149.5616,1.0539354,0.01,59.969,-30.65973,3.9643308787447,148.8947,1.0632446
197.1,5.877472e-39,59.968,-26.6965,3.19411126730473,147.2402,1.0603416,0.01,59.969,155.0948,6.84422647892134,155.0454,1.0668426,5.877472e-39,59.969,139.4687,1.84838659813545,147.4477,1.0613198,0.01,59.969,156.8699,4.01450752461457,150.0491,1.0619532,5.877472e-39,59.969,-49.36346,2.31528600805235,148.0132,1.059496,5.877472e-39,59.969,150.1893,6.4786710938061,147.8725,1.0599888,5.877472e-39,59.969,170.4619,1.97905943926168,148.6639,1.062153,0.02,59.968,29.35863,5.81244171707108,-163.8255,1.00792941176471,5.877472e-39,59.968,140.6497,1.58952294469025,143.9198,1.052073,0.02,59.968,-164.9554,15.4253264010776,-164.0645,1.00714013071895,5.877472e-39,59.968,-36.70598,7.43838225974654,147.3314,1.0609802,5.877472e-39,59.969,-41.63275,4.45611899274097,149.1872,1.0539372,5.877472e-39,59.969,-31.02818,3.97973833670343,148.5203,1.0632934
197.133,5.877472e-39,59.968,-27.19304,3.19595763346559,146.8651,1.0602828,-0.01,59.969,154.745,6.85564588989564,154.6755,1.0668358,-0.01,59.968,138.9755,1.86045379611178,147.068,1.0612654,-0.01,59.969,156.4379,4.02424165015311,149.6775,1.0618964,5.877472e-39,59.969,-49.68292,2.32418182100003,147.6345,1.0594656,5.877472e-39,59.969,149.7936,6.47847883616646,147.4939,1.0599756,5.877472e-39,59.969,170.0921,1.98970029339798,148.2877,1.0621364,5.877472e-39,59.968,28.88881,5.80395099616628,-164.2209,1.00799411764706,5.877472e-39,59.968,139.7613,1.59227257534726,143.5395,1.0520174,5.877472e-39,59.968,-165.3904,15.422676363342,-164.4606,1.00714209150327,5.877472e-39,59.968,-37.09367,7.42899541039492,146.9532,1.0608786,5.877472e-39,59.969,-42.03819,4.4632888170589,148.8113,1.0538904,5.877472e-39,59.969,-31.41498,3.99028999022314,148.1444,1.0632944
197.167,-0.01,59.968,-27.52119,3.2039908851111,146.48,1.060331,5.877472e-39,59.969,154.3844,6.85960622406715,154.3034,1.0669304,-0.01,59.968,138.597,1.86213388539513,146.685,1.061227,5.877472e-39,59.969,156.0815,4.03338947649328,149.304,1.061944,5.877472e-39,59.968,-49.9762,2.32768489375833,147.2557,1.0594814,5.877472e-39,59.968,149.3924,6.49099030517493,147.1153,1.0600086,-0.01,59.969,169.6233,1.99619115379934,147.9114,1.0621656,5.877472e-39,59.968,28.51066,5.79970563571388,-164.599,1.00799411764706,-0.02,59.968,139.6271,1.60272290389473,143.1507,1.052017,5.877472e-39,59.968,-165.7475,15.4176280414557,-164.841,1.00719294117647,-0.01,59.968,-37.49873,7.42507491339198,146.5667,1.0609776,-0.01,59.968,-42.44231,4.4706803438802,148.4303,1.0539166,-0.01,59.969,-31.79973,4.00102350907765,147.7653,1.0633088
197.2,5.877472e-39,59.968,-27.96303,3.20152877488814,146.1016,1.0603336,-0.01,59.969,153.9598,6.86533584813858,153.9295,1.0668786,5.877472e-39,59.968,138.3275,1.87090499068466,146.3052,1.0612662,5.877472e-39,59.969,155.6841,4.0405324540237,148.9259,1.06191,5.877472e-39,59.968,-50.44836,2.34126244003887,146.8754,1.0594508,5.877472e-39,59.968,148.9975,6.49141985377521,146.7351,1.0599952,5.877472e-39,59.969,169.0536,1.99862035505696,147.5336,1.0621474,0.02,59.968,28.04656,5.82093376299475,-164.9714,1.00812379084967,0.01,59.968,139.3741,1.6061021350203,142.7719,1.0519916,0.02,59.968,-166.1491,15.4194168169273,-165.2162,1.00728784313725,5.877472e-39,59.968,-37.90419,7.42152767333808,146.1852,1.0609392,5.877472e-39,59.968,-42.77724,4.47993469134504,148.0511,1.0539286,5.877472e-39,59.969,-32.15771,4.00866358518983,147.3879,1.0633084
197.233,-0.01,59.968,-28.2365,3.20508640724689,145.7132,1.0602928,-0.02,59.968,153.5872,6.86219217592285,153.5442,1.0668154,5.877472e-39,59.968,138.0569,1.86216679436047,145.9189,1.061292,-0.02,59.968,155.379,4.03881512564799,148.5412,1.061856,-0.01,59.968,-50.71645,2.33944638476713,146.4866,1.0594672,-0.01,59.968,148.6026,6.49215770741924,146.3483,1.0599672,-0.01,59.968,168.8291,1.9980808212304,147.1459,1.0620812,0.01,59.968,27.76008,5.82093376299475,-165.3496,1.00792941176471,5.877472e-39,59.968,138.9353,1.60770254996649,142.3846,1.0520234,0.01,59.969,-166.5168,15.4247301425871,-165.5941,1.00719738562092,5.877472e-39,59.968,-38.28607,7.42556075364351,145.8003,1.060918,5.877472e-39,59.968,-43.13748,4.47710798442708,147.662,1.0538906,-0.01,59.968,-32.51244,4.00818727121775,147.0006,1.0632602
197.267,-0.01,59.967,-28.67868,3.20293260206767,145.3214,1.0602712,-0.05,59.967,153.2143,6.85933862221738,153.1393,1.0667272,-0.02,59.968,137.6797,1.86404347141047,145.524,1.0612144,-0.04,59.967,154.9446,4.03084249578075,148.1384,1.0617482,-0.02,59.967,-51.23309,2.33048215581256,146.0929,1.0594096,-0.02,59.967,148.231,6.48831342065184,145.9497,1.0599592,-0.03,59.967,168.4989,1.9934120782786,146.7464,1.0620318,-0.01,59.968,27.41058,5.81668840254235,-165.7392,1.00792941176471,-0.01,59.967,138.4974,1.60939736168169,141.9884,1.0519616,-0.01,59.968,-166.8965,15.4217621003233,-165.9772,1.00715241830065,-0.02,59.967,-38.70738,7.42790595043696,145.4054,1.0608558,-0.03,59.967,-43.47795,4.46913708661065,147.2661,1.0538378,-0.02,59.967,-32.91322,3.99790495159862,146.6066,1.063199
197.3,-0.02,59.967,-28.98511,3.19906406658897,144.9178,1.0602744,-0.02,59.966,152.8915,6.84745242355044,152.7301,1.0665598,-0.02,59.967,137.2415,1.8537533575627,145.1242,1.0612208,-0.03,59.966,154.6417,4.01606377226517,147.7305,1.0617218,-0.02,59.967,-51.48277,2.32332705392649,145.6908,1.0594042,-0.02,59.967,147.8361,6.48964883182447,145.5494,1.0599102,-0.02,59.966,168.2737,1.99294788866217,146.3437,1.0620036,5.877472e-39,59.968,27.03815,5.81244171707108,-166.1231,1.00799411764706,-0.03,59.967,138.1219,1.60591074340606,141.5886,1.051925,5.877472e-39,59.968,-167.287,15.42259686221,-166.3603,1.0071522875817,-0.02,59.967,-39.14363,7.43583960916103,145.0054,1.0608772,-0.01,59.967,-43.81963,4.46132467144311,146.867,1.0538046,-0.02,59.967,-33.26825,3.98120884783906,146.201,1.0631586
197.333,5.877472e-39,59.967,-29.42856,3.19723415491077,144.5242,1.060262,0.02,59.966,152.5317,6.85280619259663,152.3404,1.0665148,5.877472e-39,59.967,136.9132,1.85049363794286,144.7309,1.061182,0.02,59.966,154.3483,4.01987948019424,147.3376,1.0616604,5.877472e-39,59.967,-51.88927,2.32091950330397,145.2986,1.0593856,5.877472e-39,59.967,147.4866,6.48144497317442,145.1575,1.0599094,0.01,59.967,168.0484,1.99251574198568,145.9509,1.0619642,0.01,59.968,26.63136,5.82517912344715,-166.4898,1.00786470588235,0.01,59.967,137.7447,1.60249254113732,141.2007,1.0519498,0.01,59.968,-167.6658,15.4270091750397,-166.7306,1.00705294117647,0.01,59.967,-39.50902,7.4357417482904,144.6154,1.0608824,0.01,59.967,-44.20137,4.46435056420393,146.4728,1.0537912,5.877472e-39,59.967,-33.57777,3.98285949225867,145.8086,1.0631372
197.367,0.02,59.968,-29.7865,3.1983851026724,144.137,1.060202,0.03,59.968,152.1579,6.85077622905016,151.9547,1.0664018,0.02,59.968,136.4861,1.85793539423758,144.3425,1.061159,0.02,59.968,153.9091,4.02580136190532,146.953,1.0616498,0.02,59.968,-52.1794,2.32487810542467,144.913,1.0593204,0.01,59.968,147.0915,6.4833623534184,144.7686,1.0598328,0.01,59.968,167.4896,1.98764781319101,145.5646,1.06188,5.877472e-39,59.969,26.32769,5.82942580891842,-166.8679,1.00779986928105,5.877472e-39,59.968,137.3067,1.60444283034664,140.812,1.0518696,5.877472e-39,59.969,-168.0444,15.432097247492,-167.1114,1.00700248366013,0.01,59.968,-39.91457,7.43403914234656,144.225,1.0607824,0.01,59.967,-44.56363,4.46222533786305,146.0837,1.0537964,0.02,59.968,-33.98151,3.98964739937353,145.4194,1.0630412
197.4,5.877472e-39,59.968,-30.23044,3.19690246718112,143.7536,1.0603724,0.01,59.968,151.6956,6.85555928735526,151.5706,1.0666808,0.01,59.968,136.1098,1.86014808914425,143.9561,1.0612756,5.877472e-39,59.968,153.4274,4.02991931270032,146.57,1.0617796,5.877472e-39,59.968,-52.60393,2.32817419811147,144.5276,1.0594572,5.877472e-39,59.968,146.7187,6.48063004326946,144.3835,1.0599876,5.877472e-39,59.968,167.0293,1.99487133108397,145.1819,1.0620274,5.877472e-39,59.969,25.92088,5.82093376299475,-167.2461,1.00786470588235,5.877472e-39,59.968,137.1173,1.60279998015566,140.4277,1.052015,5.877472e-39,59.969,-168.4358,15.4290364539074,-167.4843,1.00703633986928,5.877472e-39,59.968,-40.23975,7.43645362117231,143.8418,1.0609418,0.01,59.968,-45.01352,4.46419900975827,145.7013,1.0539096,5.877472e-39,59.968,-34.43172,3.99503407738507,145.0371,1.0632066
197.433,5.877472e-39,59.968,-30.67478,3.19561035727868,143.366,1.0602546,0.01,59.968,151.234,6.86078661669251,151.1893,1.0667948,0.01,59.968,135.7343,1.86243959236266,143.5707,1.0612234,5.877472e-39,59.968,152.9908,4.03633396286615,146.1872,1.0618028,5.877472e-39,59.968,-53.16264,2.33093162299712,144.1402,1.0593968,5.877472e-39,59.968,146.2798,6.48068720094611,144.0011,1.0599102,5.877472e-39,59.968,166.463,1.9981960026091,144.7991,1.0620684,0.01,59.969,25.54846,5.83367116937082,-167.607,1.00786470588235,5.877472e-39,59.968,136.5673,1.61552016128645,140.0402,1.0519662,0.01,59.969,-168.7696,15.4346942844729,-167.8495,1.00706013071895,5.877472e-39,59.968,-40.59082,7.43202909738437,143.4564,1.0609038,5.877472e-39,59.968,-45.48083,4.47182003331158,145.3155,1.0538864,5.877472e-39,59.968,-34.88066,4.00066757263669,144.6513,1.0632366
197.467,-0.02,59.967,-30.9841,3.19234111137939,142.9754,1.0603126,-0.04,59.967,150.9478,6.8530963111069,150.7928,1.0666258,-0.02,59.968,135.2401,1.85799341793963,143.1805,1.0612554,-0.03,59.968,152.6689,4.03051687022893,145.7943,1.0617834,-0.03,59.967,-53.4337,2.32963604899306,143.7477,1.0594202,-0.03,59.967,145.9292,6.4859699559092,143.6089,1.059951,-0.04,59.967,166.1322,1.9861591155219,144.4027,1.0620424,0.01,59.969,25.17031,5.83791652982322,-167.9737,1.00779986928105,-0.02,59.967,136.2444,1.60706082514228,139.648,1.0520074,0.01,59.969,-169.1388,15.4325477539071,-168.215,1.00703346405229,-0.02,59.968,-41.01064,7.43656793652561,143.0626,1.0609234,-0.03,59.967,-45.75655,4.46630691559108,144.9213,1.0539152,-0.03,59.967,-35.21375,3.99801147272328,144.2603,1.063195
197.5,-0.01,59.967,-31.29405,3.18916539622371,142.5809,1.0602392,5.877472e-39,59.967,150.5502,6.85708176001511,150.3911,1.0665322,-0.01,59.967,134.9093,1.85510695526882,142.7849,1.0612198,-0.02,59.967,152.3296,4.01972099754535,145.3929,1.0616626,-0.01,59.967,-53.67496,2.31736013889442,143.3534,1.0594024,-0.01,59.967,145.533,6.47669309178386,143.2113,1.059924,5.877472e-39,59.967,166.017,1.99000946446713,144.0044,1.0619764,5.877472e-39,59.969,24.78071,5.84216321529448,-168.3347,1.00786470588235,5.877472e-39,59.967,135.6728,1.60248301485788,139.2548,1.0519446,5.877472e-39,59.969,-169.5166,15.4402461135289,-168.5776,1.00709058823529,-0.01,59.967,-41.38942,7.44327530327792,142.6717,1.0608654,-0.01,59.967,-46.10211,4.4595597116702,144.5268,1.0538398,5.877472e-39,59.967,-35.52962,3.98385455544762,143.8625,1.0631474
197.533,5.877472e-39,59.967,-31.8277,3.18571082088802,142.1869,1.06037,-0.02,59.966,150.1427,6.8414248867401,149.9839,1.0666706,5.877472e-39,59.967,134.3686,1.8562691613607,142.3893,1.0612344,5.877472e-39,59.967,151.8878,4.01339035184369,144.9901,1.0618106,5.877472e-39,59.967,-54.22107,2.31501927222799,142.9576,1.0594986,5.877472e-39,59.967,145.1148,6.47275094414583,142.8158,1.0600382,5.877472e-39,59.967,165.3404,1.98188181605261,143.6081,1.0620524,0.01,59.969,24.46558,5.84640857574688,-168.7014,1.00773516339869,5.877472e-39,59.967,135.3426,1.59416743893074,138.8638,1.052019,0.01,59.969,-169.894,15.4486202327734,-168.9413,1.00691385620915,5.877472e-39,59.967,-41.7675,7.45030742955665,142.2746,1.0609588,-0.01,59.967,-46.65717,4.44910418697031,144.1293,1.0539402,5.877472e-39,59.967,-36.01045,3.97693587849679,143.4631,1.0632142
197.567,0.03,59.968,-32.32039,3.19002535944967,141.8021,1.0603204,0.02,59.967,149.7045,6.84332667852681,149.5919,1.0667846,0.02,59.967,133.8697,1.85220750221695,141.9985,1.0612618,0.03,59.967,151.4446,4.00729872915347,144.5989,1.0618804,0.03,59.967,-54.76823,2.31288971576008,142.5697,1.0594804,0.03,59.967,144.6757,6.47419807259555,142.4294,1.0599742,0.03,59.967,165,1.98577113614101,143.2167,1.062143,0.01,59.97,23.94991,5.85490062167055,-169.0509,1.00767032679739,0.02,59.968,134.7131,1.5952101335169,138.4765,1.0519462,0.01,59.97,-170.2952,15.4522375342824,-169.2943,1.00685529411765,0.03,59.968,-42.13179,7.4523798283479,141.89,1.060898,0.03,59.967,-47.1071,4.45235697838692,143.7432,1.0539574,0.03,59.967,-36.49292,3.97029865980218,143.0736,1.0632596
197.6,5.877472e-39,59.968,-32.58586,3.18232466155922,141.4076,1.0603968,5.877472e-39,59.967,149.3527,6.83866572980364,149.2003,1.066795,5.877472e-39,59.967,133.5359,1.84957738306566,141.6092,1.0612742,5.877472e-39,59.967,151.1182,4.00209564852753,144.2025,1.0618804,5.877472e-39,59.968,-55.30508,2.30543929921132,142.1782,1.0594852,5.877472e-39,59.968,144.2771,6.46590414730351,142.0368,1.0600604,5.877472e-39,59.967,164.6596,1.98188181605261,142.8248,1.0621294,5.877472e-39,59.97,23.71499,5.86339134257535,-169.4176,1.00760549019608,-0.01,59.968,134.5202,1.59380977043898,138.0869,1.0520528,5.877472e-39,59.97,-170.6375,15.4640964531492,-169.6606,1.00680797385621,5.877472e-39,59.968,-42.49583,7.45475360397968,141.4991,1.0609886,5.877472e-39,59.968,-47.47119,4.4516650240893,143.3488,1.0540312,5.877472e-39,59.967,-36.82947,3.96829814111944,142.6788,1.0632374
197.633,5.877472e-39,59.967,-33.12186,3.17954038988605,141.0206,1.0603548,-0.01,59.967,148.8739,6.83860770610159,148.8038,1.066882,5.877472e-39,59.967,133.2011,1.84701134979424,141.2212,1.0612714,5.877472e-39,59.967,150.6997,3.99323967274843,143.8075,1.061868,5.877472e-39,59.967,-55.7074,2.29860202864845,141.7869,1.059539,5.877472e-39,59.967,143.9026,6.46524770004744,141.647,1.0600682,5.877472e-39,59.967,164.3179,1.97806264402192,142.433,1.0621654,5.877472e-39,59.97,23.35977,5.86339134257535,-169.7728,1.00767032679739,5.877472e-39,59.968,133.9876,1.58433112239456,137.7007,1.0520104,5.877472e-39,59.97,-170.9717,15.4672234976771,-170.016,1.00687699346405,5.877472e-39,59.968,-42.90041,7.45579543254043,141.1124,1.0609352,5.877472e-39,59.967,-47.96022,4.44339881161018,142.9608,1.0540548,5.877472e-39,59.967,-37.24425,3.96015663629846,142.2873,1.063292
197.667,5.877472e-39,59.968,-33.43495,3.1770107296816,140.6289,1.0604016,-0.02,59.967,148.5027,6.8270306785038,148.4026,1.066894,5.877472e-39,59.967,132.5664,1.83665108788877,140.8298,1.0612928,5.877472e-39,59.967,150.3253,3.98646475601463,143.4092,1.0618786,5.877472e-39,59.967,-56.25053,2.29150928059145,141.3969,1.0595782,5.877472e-39,59.967,143.5222,6.45247295931622,141.2538,1.0600998,5.877472e-39,59.967,163.8588,1.97046500315452,142.0391,1.0621612,0.01,59.97,22.9587,5.86763670302775,-170.1281,1.00754078431373,5.877472e-39,59.968,133.4486,1.57499103841474,137.3099,1.0520616,0.01,59.97,-171.3623,15.4695687810731,-170.37,1.00675241830065,5.877472e-39,59.968,-43.23547,7.4657192176424,140.7243,1.0609946,5.877472e-39,59.967,-48.38082,4.43657279937755,142.5659,1.0540738,5.877472e-39,59.967,-37.66071,3.9522238435998,141.8925,1.0633702
197.7,5.877472e-39,59.968,-33.83844,3.17212548037885,140.242,1.060457,5.877472e-39,59.967,148.1492,6.82325394171789,148.0097,1.0669622,0.01,59.968,132.2279,1.83426778597755,140.4419,1.0613876,5.877472e-39,59.967,149.9763,3.97665528626596,143.0178,1.0619944,5.877472e-39,59.968,-56.51915,2.28526956755718,141.0118,1.0596268,5.877472e-39,59.968,143.1468,6.45237250036938,140.8689,1.0601662,5.877472e-39,59.967,163.6252,1.96278942000078,141.6487,1.0622328,0.01,59.97,22.62065,5.87188338849902,-170.4776,1.00760549019608,5.877472e-39,59.968,133.0552,1.57244578975302,136.9274,1.0521356,0.01,59.97,-171.7085,15.4712118044692,-170.7207,1.00679830065359,5.877472e-39,59.968,-43.6393,7.46743914409431,140.3411,1.0610622,5.877472e-39,59.967,-48.78873,4.42454197446818,142.1795,1.054131,5.877472e-39,59.967,-38.00887,3.9424524789689,141.504,1.0633962
197.733,0.02,59.968,-34.19945,3.16240088111975,139.8612,1.0604544,0.02,59.968,147.6912,6.8194806690336,147.6236,1.0669902,0.01,59.968,131.7187,1.83081407666726,140.0614,1.0613606,0.02,59.968,149.5264,3.97160376008568,142.6328,1.062059,0.02,59.968,-57.07503,2.28402941917896,140.6281,1.0596586,0.01,59.968,142.7451,6.44528494846481,140.4867,1.0601512,0.02,59.968,163.1672,1.9632293609059,141.2646,1.06225,5.877472e-39,59.97,22.27115,5.87612874895142,-170.8328,1.00767032679739,0.01,59.968,132.6606,1.56997588530143,136.5481,1.0520584,5.877472e-39,59.97,-172.0326,15.4726825754124,-171.0742,1.0068414379085,0.01,59.968,-43.96107,7.47258939717062,139.957,1.0610238,0.01,59.968,-49.22578,4.42363957599743,141.7993,1.0541336,0.02,59.968,-38.49857,3.93698785867102,141.1237,1.0634562
197.767,0.01,59.968,-34.55826,3.16520940150423,139.4839,1.0605218,0.01,59.968,147.3784,6.81885106856505,147.2426,1.0670368,0.01,59.968,131.3439,1.83403222706773,139.6844,1.0614036,0.02,59.968,149.1427,3.97363025953054,142.2589,1.0620322,5.877472e-39,59.968,-57.35959,2.28903417998744,140.2457,1.0596736,5.877472e-39,59.968,142.3694,6.44575779833527,140.108,1.060207,0.01,59.968,162.8195,1.95971935994436,140.8853,1.0622752,5.877472e-39,59.97,21.88726,5.86763670302775,-171.188,1.00767032679739,5.877472e-39,59.968,132.5067,1.56334992493707,136.1714,1.0521126,5.877472e-39,59.97,-172.3979,15.4821432101285,-171.4283,1.00683176470588,5.877472e-39,59.968,-44.33484,7.48181689784794,139.5799,1.0610796,0.01,59.968,-49.52161,4.42500096793218,141.4192,1.0541826,0.01,59.968,-38.85817,3.93925597920353,140.7427,1.0634096
197.8,5.877472e-39,59.968,-35.00739,3.16579310262638,139.0985,1.060437,5.877472e-39,59.968,147.0241,6.81589965398895,146.8566,1.067007,5.877472e-39,59.968,131.0035,1.83188188599013,139.3016,1.0613818,5.877472e-39,59.968,148.764,3.96756721567865,141.8719,1.0621016,5.877472e-39,59.968,-57.90475,2.27702673776396,139.8646,1.0596706,5.877472e-39,59.968,141.948,6.44443191344208,139.7235,1.0601978,5.877472e-39,59.968,162.4705,1.95628210511674,140.5025,1.0623226,5.877472e-39,59.971,21.46901,5.87612874895142,-171.5318,1.00760549019608,5.877472e-39,59.968,131.8261,1.57069208831036,135.7896,1.0520418,5.877472e-39,59.971,-172.8002,15.4845414942792,-171.7748,1.00679895424837,5.877472e-39,59.968,-44.68523,7.48065555778147,139.2006,1.0610932,5.877472e-39,59.968,-49.94617,4.41906609584005,141.037,1.054189,5.877472e-39,59.968,-39.22948,3.93344841284575,140.3603,1.0634748
197.833,5.877472e-39,59.968,-35.41454,3.16152359738572,138.7225,1.060532,5.877472e-39,59.968,146.5859,6.80823619519087,146.4773,1.067087,5.877472e-39,59.968,130.5232,1.82331949282291,138.9307,1.061409,5.877472e-39,59.968,148.3841,3.96167737690751,141.4911,1.0621164,0.01,59.968,-58.32353,2.27647854368337,139.4882,1.0596724,5.877472e-39,59.968,141.5905,6.44033214918056,139.3474,1.0602168,5.877472e-39,59.968,162.1203,1.95291759642304,140.1245,1.0623764,5.877472e-39,59.971,21.10231,5.87612874895142,-171.8813,1.00754078431373,5.877472e-39,59.968,131.4695,1.56301563913121,135.4175,1.0521394,5.877472e-39,59.971,-173.1427,15.4944658855989,-172.1273,1.00672326797386,5.877472e-39,59.968,-45.04669,7.48513637322065,138.826,1.0611104,5.877472e-39,59.968,-50.4429,4.41244966175513,140.6596,1.0542022,5.877472e-39,59.968,-39.67125,3.92998690930682,139.9841,1.0634812
197.867,0.01,59.969,-35.82277,3.15741430684476,138.3489,1.0605416,0.02,59.969,146.2101,6.81084812780868,146.1029,1.067028,0.01,59.969,130.008,1.82035248978955,138.5574,1.0613936,0.01,59.968,148.0031,3.95596334129334,141.1118,1.0621138,0.01,59.969,-58.60281,2.27618063094447,139.1167,1.0596774,5.877472e-39,59.969,141.1687,6.43964972116238,138.9725,1.0602162,0.01,59.969,161.769,1.94962583386326,139.7504,1.0622818,-0.01,59.971,20.76999,5.87188338849902,-172.2365,1.00767032679739,5.877472e-39,59.969,131.0312,1.56629267925913,135.0403,1.0521126,5.877472e-39,59.971,-173.4786,15.4956054018252,-172.4732,1.00685555555556,5.877472e-39,59.969,-45.4077,7.48991510139873,138.4491,1.0610858,5.877472e-39,59.969,-50.739,4.414296027916,140.2836,1.054196,0.01,59.969,-40.04459,3.92454220759323,139.6056,1.0634454
