Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m
0.667,-0.000813799,59.99883,34.77308,5.62171605904972,39.03016,1.03824579710145,-0.009002681,59.99826,-164.6162,0.019861515867543,18.59276,0.998340824437228,5.877472e-39,60,-11.96571,2.34060872942307,14.2947,1.02404091503268,-0.006205242,59.99868,32.9605,9.2381198808244,30.15886,1.01811217391304,-0.002365108,59.99823,-157.2537,1.8305045505277,27.02669,1.01549391304348,-0.003407802,59.99868,24.29369,5.57078682844371,23.05037,1.03217884057971,5.877472e-39,60,-10.70995,2.19348790947573,14.39259,1.0231414379085,5.877472e-39,60.002,-74.29135,0.775927255786667,111.201,1.03609420289855
0.7,0.0003814674,59.99883,34.73298,5.61788631284885,39.02442,1.03824579710145,0.01670837,59.99854,-164.112,0.0187580983193462,18.5813,0.998340824437228,5.877472e-39,60,-11.96571,2.34060872942307,14.24134,1.02397986928105,0.002670293,59.99871,32.93199,9.23473770521246,30.14827,1.01806115942029,5.877472e-39,59.99823,-157.3454,1.82795178476547,27.01523,1.01542492753623,-7.629627e-05,59.99937,24.28795,5.57334019176347,23.04464,1.03224753623188,5.877472e-39,60.001,-9.443954,2.21112656064375,14.35164,1.02329594771242,5.877472e-39,60.002,-74.29135,0.775927255786667,111.2331,1.03612231884058
0.733,0.007476811,59.999,34.7559,5.61022801556217,39.03016,1.03845275362319,0.04432678,59.99987,-162.0494,0.0209649308330755,18.59276,0.998468246974385,5.877472e-39,60,-11.96571,2.34060872942307,14.28671,1.02433581699346,0.00630697,59.99886,32.9458,9.22786579363343,30.16079,1.01817188405797,0.0109609,59.99848,-157.3454,1.82284505812596,27.02097,1.01556289855072,0.001958215,60.00039,24.26504,5.57844572328792,23.05609,1.03238550724638,5.877472e-39,60,-9.443954,2.21112656064375,14.38068,1.02380326797386,5.877472e-39,60.001,-74.29135,0.775927255786667,111.2484,1.03642695652174
0.767,0.02001444,59.99955,34.76735,5.60256852316043,39.04735,1.03865971014493,0.04440308,60.0014,-159.4195,0.0231717659294691,18.61567,0.998596340156475,5.877472e-39,60,-11.96571,2.34060872942307,14.29511,1.02462718954248,0.02543132,59.99953,32.9524,9.21872316344568,30.18584,1.01839391304348,0.02855937,59.99927,-157.3282,1.81518616328175,27.04389,1.01576985507246,0.01309713,60.00107,24.2765,5.57844572328792,23.07902,1.03252347826087,5.877472e-39,60.001,-9.443954,2.21112656064375,14.39293,1.0237277124183,5.877472e-39,60.001,-74.29135,0.775927255786667,111.2616,1.03632231884058
0.8,0.02787272,60.00047,34.76162,5.59873937451709,39.07599,1.03872869565217,0.01853944,60.00225,-159.2018,0.0242751886429948,18.64433,0.998531958242964,5.877472e-39,60,-12.34987,2.38987823100299,14.33146,1.02381320261438,0.03890992,60.00077,32.95903,9.20958053325792,30.21903,1.01845304347826,0.03766378,60.00052,-157.3798,1.80752726843754,27.07254,1.01590753623188,0.03608704,60.00162,24.32807,5.57844632084545,23.10766,1.03252347826087,5.877472e-39,60.001,-10.70995,2.19348790947573,14.43777,1.02320640522876,5.877472e-39,60.001,-74.29135,0.775927255786667,111.2652,1.03615101449275
0.833,0.02502442,60.00133,34.796,5.59108047967288,39.11037,1.03893536231884,0.01571656,60.00269,-162.7598,0.0253786036085272,18.68443,0.998596340156475,5.877472e-39,60,-11.17529,2.40607658666172,14.30726,1.02440470588235,0.0323995,60.00191,32.99373,9.19240672988564,30.27003,1.01864956521739,0.03130595,60.00163,-157.4199,1.79731501027357,27.11836,1.01611420289855,0.03524781,60.00257,24.36818,5.58099968416521,23.15349,1.03266144927536,5.877472e-39,60.001,-9.443954,2.21112656064375,14.41755,1.0237231372549,5.877472e-39,60.001,-74.29135,0.775927255786667,111.2652,1.03615101449275
0.867,0.02578737,60.00217,34.84757,5.58342158482867,39.16195,1.03928,0.04913329,60.00406,-163.4245,0.0275854387049209,18.74173,0.998851185230789,5.877472e-39,60,-12.34987,2.38987823100299,14.3279,1.02462026143791,0.03435772,60.00301,33.03578,9.17751559627265,30.33878,1.01898405797101,0.03211977,60.00266,-157.4313,1.7845505839049,27.18139,1.01639014492754,0.02698262,60.004,24.40828,5.58355244992744,23.21653,1.03293710144928,5.877472e-39,60.001,-9.443954,2.21112656064375,14.43005,1.02408732026144,5.877472e-39,60.001,-74.29135,0.775927255786667,111.2879,1.03611304347826
0.9,0.02822876,60.00311,34.87622,5.5795918386278,39.21924,1.03955594202899,0.008468628,60.00508,-163.7052,0.0286888562531177,18.80475,0.998978607767946,5.877472e-39,60,-12.34987,2.38987823100299,14.41755,1.0237231372549,0.02415975,60.00403,33.08541,9.17061380681718,30.4003,1.01923420289855,0.02713522,60.00371,-157.4371,1.77433832574094,27.24442,1.01659710144928,0.02894083,60.00384,24.45411,5.58099848905015,23.27382,1.0330747826087,5.877472e-39,60.001,-10.70995,2.19348790947573,14.52798,1.02304535947712,5.877472e-39,60.001,-74.29135,0.775927255786667,111.3068,1.03624666666667
0.933,0.007934589,60.00353,34.89914,5.58725133102954,39.25934,1.03955594202899,-0.05104065,60.00423,-165.1835,0.0297922738013146,18.83912,0.998914896499367,5.877472e-39,60.001,-11.96571,2.34060872942307,14.43849,1.02452549019608,5.877472e-39,60.00419,33.11407,9.17401390915498,30.43683,1.01926173913043,0.001831055,60.00396,-157.4199,1.77433832574094,27.28453,1.01673507246377,0.00841775,60.00306,24.49422,5.57844632084545,23.3082,1.03300608695652,5.877472e-39,60.002,-9.443954,2.21112656064375,14.54892,1.02399516339869,5.877472e-39,60.001,-73.81079,0.753482995012028,111.3163,1.03631333333333
0.967,0.0004069135,60.00354,34.95069,5.59107988211535,39.28799,1.03948695652174,-0.04264832,60.00247,-166.9081,0.0308956913495114,18.86777,0.998914896499367,5.877472e-39,60,-12.34987,2.38987823100299,14.46286,1.02408156862745,-0.002822885,60.00414,33.13568,9.18084399170701,30.46469,1.01929768115942,5.877472e-39,60.00396,-157.4313,1.77433832574094,27.31317,1.01680376811594,5.877472e-39,60.00305,24.53433,5.57844572328792,23.33684,1.03293710144928,5.877472e-39,60.001,-9.443954,2.21112656064375,14.57329,1.02340549019608,5.877472e-39,60,-73.81079,0.753482995012028,111.3352,1.03644695652174
